 ,Area,Min,Max,Slice
652,296,255,255,1
653,263,255,255,1
654,377,255,255,1
655,162,255,255,1
656,278,255,255,1
657,308,255,255,1
658,359,255,255,1
659,364,255,255,1
660,274,255,255,1
661,119,255,255,1
662,480,255,255,1
663,266,255,255,1
664,327,255,255,1
665,316,255,255,1
666,418,255,255,1
667,310,255,255,1
668,279,255,255,1
669,281,255,255,1
670,122,255,255,1
671,362,255,255,1
672,458,255,255,1
673,353,255,255,1
674,278,255,255,1
675,318,255,255,1
676,291,255,255,1
677,278,255,255,1
678,202,255,255,1
679,308,255,255,1
680,302,255,255,1
681,231,255,255,1
682,299,255,255,1
683,314,255,255,1
684,297,255,255,1
685,286,255,255,1
686,474,255,255,1
687,292,255,255,1
688,281,255,255,1
689,321,255,255,1
690,201,255,255,1
691,384,255,255,1
692,372,255,255,1
693,295,255,255,1
694,272,255,255,1
695,275,255,255,1
696,369,255,255,1
697,365,255,255,1
698,393,255,255,1
699,264,255,255,1
700,357,255,255,1
701,416,255,255,1
702,321,255,255,1
703,295,255,255,1
704,308,255,255,1
705,455,255,255,1
706,339,255,255,1
707,273,255,255,1
708,294,255,255,1
709,323,255,255,1
710,40,255,255,1
711,297,255,255,1
712,292,255,255,1
713,270,255,255,1
714,363,255,255,1
715,381,255,255,1
716,323,255,255,1
717,309,255,255,1
718,298,255,255,1
719,193,255,255,1
720,472,255,255,1
721,410,255,255,1
722,471,255,255,1
723,244,255,255,1
724,26,255,255,1
725,377,255,255,1
726,256,255,255,1
727,283,255,255,1
728,295,255,255,1
729,403,255,255,1
730,38,255,255,1
731,327,255,255,1
732,265,255,255,1
733,323,255,255,1
734,265,255,255,1
735,204,255,255,1
736,320,255,255,1
737,179,255,255,1
738,299,255,255,1
739,318,255,255,1
740,370,255,255,1
741,421,255,255,1
742,203,255,255,1
743,289,255,255,1
744,298,255,255,1
745,361,255,255,1
746,282,255,255,1
747,309,255,255,1
748,334,255,255,1
749,47,255,255,1
750,248,255,255,1
751,317,255,255,1
752,292,255,255,1
753,416,255,255,1
754,435,255,255,1
755,246,255,255,1
756,282,255,255,1
757,460,255,255,1
758,309,255,255,1
759,106,255,255,1
760,224,255,255,1
761,298,255,255,1
762,299,255,255,1
763,351,255,255,1
764,280,255,255,1
765,330,255,255,1
766,279,255,255,1
767,281,255,255,1
768,269,255,255,1
769,260,255,255,1
770,274,255,255,1
771,244,255,255,1
772,317,255,255,1
773,355,255,255,1
774,299,255,255,1
775,330,255,255,1
776,288,255,255,1
